run,m,n,nT,c,a,b1,bn,σt,g0,g1,g1_std,τpot,tau3,stdp_type,connectivity_algorithm,αrecip,αconv,αdiv,αchain,timestep,pattern,act_corrs,temp_corrs,hit_rates,false_alarm_rates,d_primes
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,3,5,0.964485004692632,0.07065044003296764,0.9285714285714286,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,4,1,0.964485004692632,0.027362764391072204,0.9285714285714286,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,5,2,0.964485004692632,-0.04123194065370123,0.9285714285714286,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,6,3,0.964485004692632,-1.424444503514152e-17,0.9285714285714286,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,7,4,0.964485004692632,-1.424444503514152e-17,0.9285714285714286,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,8,5,0.964485004692632,-1.424444503514152e-17,0.9285714285714286,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,9,1,0.964485004692632,-1.424444503514152e-17,0.9285714285714286,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,10,2,0.964485004692632,-1.424444503514152e-17,0.9285714285714286,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,0,3,0.7099696729391469,0.9411764705882354,0.5,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,1,4,0.9544401332834326,0.21728098137197435,0.9117647058823529,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,2,5,0.9834954408094253,0.02798743427988189,0.9705882352941176,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,3,1,0.9834954408094253,0.12062593896127319,0.9705882352941176,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,4,2,0.9834954408094253,0.3453652766113356,0.9705882352941176,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,5,3,0.9834954408094253,0.26029949485756265,0.9705882352941176,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,6,4,0.9834954408094253,0.4172910880483497,0.9705882352941176,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,7,5,0.9834954408094253,0.3035188346311182,0.9705882352941176,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,8,1,0.9834954408094253,-9.985757815161254e-18,0.9705882352941176,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,9,2,0.9834954408094253,-9.985757815161254e-18,0.9705882352941176,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,10,3,0.9834954408094253,-9.985757815161254e-18,0.9705882352941176,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,0,4,0.7284364926080833,0.9444444444444444,0.5454545454545454,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,1,5,0.9187692720184776,0.34427462808976994,0.8484848484848485,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,2,1,0.9224893622194171,-0.020568545873473124,0.8484848484848485,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,3,2,0.9224909053750401,-0.16847415392181517,0.8484848484848485,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,4,3,0.9224909053750401,-0.19714919926973706,0.8484848484848485,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,5,4,0.9224909053750401,-0.11179019485509786,0.8484848484848485,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,6,5,0.9224909053750401,-0.2486104898199027,0.8484848484848485,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,7,1,0.9224909053750401,-0.25265968117749094,0.8484848484848485,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,8,2,0.9224909053750401,-0.1603973321525435,0.8484848484848485,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,9,3,0.9224909053750401,0.04575874645551692,0.8484848484848485,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,10,4,0.9224909053750401,-0.0023702191209018495,0.8484848484848485,0.0,Inf
1,5,3000,10,0.25,0.01,0.5,1.0,0.2,0.0,0.1,0.0,1.0,1.0,symmetric,random,1.0,1.0,1.0,1.0,0,5,0.6417812867312318,0.8999999999999999,0.43478260869565216,0.0,Inf
